,ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAtext,MisconceptionBtext,MisconceptionCtext,MisconceptionDtext
349,Carry out multiplication problems involving two negative integers,Multiplying and Dividing Negative Numbers,B,Which calculation is incorrect?,\( (-7) \times 2=-14 \),\( (-7) \times(-2)=-14 \),\( 7 \times 2=14 \),\( 7 \times(-2)=-14 \),Believes multiplying a positive by a negative gives a positive answer,nan,Believes multiplying two positives gives a negative answer,Believes multiplying a positive by a negative gives a positive answer
350,Know that the probabilities of exhaustive events must sum to 1,Probability of Single Events,B,"The probability of an event occurring is \( \frac{2}{7} \).

What is the probability of the event not occurring?",\( \frac{2}{7} \),\( \frac{5}{7} \),\( 5 \),\( \frac{2}{5} \),Thinks that probabilities of an event occurring or not occurring must be equal,nan,Gives probability as an integer instead of a fraction,nan
351,Calculate the square of a number,"Squares, Cubes, etc",D,\( (16)^{2}=? \),\( 8 \),\( 32 \),\( 64 \),\( 256 \),Mixes up squaring with dividing by 2,Mixes up squaring and multiplying by 2 or doubling,nan,nan
352,"Given a negative x value, find the corresponding y value for curves in the form y = x² + c",Plotting Quadratics from Tables of Values,A,"This is a part of the table of values for the equation
\(y=x^{2}+4\) \begin{tabular}{|l|l|}
\hline\( x \) & \( -6 \) \\
\hline\( y \) & \( \bigstar \) \\
\hline
\end{tabular} What should replace the star?",\( 40 \),\( 4 \),\( -24 \),\( -32 \),nan,"Believes addition comes before indices, in orders of operation",nan,Believes the square of a negative will also be negative
353,Calculate the area of a parallelogram where the dimensions are given in the same units,Area of Simple Shapes,A,What is the area of this shape? ![Parallelogram drawn on square grid with area of 6 squares](),\( 6 \),\( 8 \),\( 4 \),\( 7 \),nan,Counts half-squares as full squares when calculating area on a square grid,Underestimates the area of shapes when counting squares when some squares are neither wholes nor halves,Counts half-squares as full squares when calculating area on a square grid
354,Calculate the square of a number,"Squares, Cubes, etc",A,\( -(16)^{2}=? \),\( -256 \),\( -32 \),\( 32 \),\( 256 \),nan,Mixes up squaring and multiplying by 2 or doubling,nan,Does not understand that the negative outside the bracket means answer will be negative
355,Identify the order of rotational symmetry of a shape,Rotational Symmetry,C,Which quadrilateral has the highest order of rotational symmetry?,![Trapezium](),![Irregular quadrilateral](),![Parallelogram](),They each have the same order of rotational symmetry,Does not know how to find order of rotational symmetry,Does not know how to find order of rotational symmetry,nan,Believes the number of sides gives the order of rotational symmetry
356,Read an integer on a scale where the required measurement is marked by a dash between two numbers,Place Value,D,What number is the arrow pointing to? ![A number line from 100 to 200 with an arrow pointing to the value 160](),\( 154 \),\( 170 \),\( 152 \),\( 160 \),"When reading integers on a number line, assumes each dash is 2","When reading integers on a number line, assumes each dash is 10","When reading integers on a number line, assumes each dash is 1",nan
357,Write algebraic expressions with correct algebraic convention,Writing Expressions,C,"Which of the following is the correct way of writing:

\( m \) multiplied by \( n \), then add \( 5 \)

using algebraic convention?",\( m(n+5) \),\( m \times n+5 \),\( m n+5 \),\( 5 m n \),"Does not account for grammar when writing algebra e.g. ,then making a group",Does not realize we can omit the multiplication symbol in algebraic expressions,nan,nan
358,Identify a transversal,Angle Facts with Parallel Lines,D,"Line \( X Y \) is... ![A pair of parallel lines are drawn with the arrows pointing up to the left.
A straight red line, XY, is drawn so that it diagonally crosses the pair of parallel lines. The red line rises from X on the left up to Y.]()",Parallel,Perpendicular,Skew,A transversal,nan,Believes any lines that cross are perpendicular,Does not know the term transversal,nan
359,Write algebraic expressions with correct algebraic convention involving powers,Writing Expressions,B,"If we want to write
""\( m \) multiplied by \( m \) multiplied by \( m \)""
using algebra, this would be:",\( m \times m \times m \),\( m^{3} \),\( 3 m \),\( \mathrm{mmm} \),Does not realize we can omit the multiplication symbol in algebraic expressions,nan,Multiplies by the index,Writes repeated letters instead of using index form of a variable
360,Calculate the median as an average from an even numbered list of data,"Averages (mean, median, mode) from a List of Data",C,"What is the median of the following numbers?
\[
2,2,4,7,10,-15
\]",\( 7 \),\( 4 \),\( 3 \),\( 5.5 \),Believes you don't need to numerically order the data before calculating the median,When finding the median from a even dataset does not understand we must find the midpoint of the two values in the middle,nan,Believes you don't need to numerically order the data before calculating the median
361,Solve problems that combine addition and subtraction,BIDMAS,A,"![Think of a number, then subtract \( 5 \), next divide by \( 8 \), next add 4, and finally multiply by \( 7 \).]() Jo says you can write this as:
\[
7\left(\frac{(n-5)}{8}+4\right)
\]
Paul says you can write this as:
\[
7((n-5) \div 8)+4
\]
Who is correct?","Only
Jo","Only
Paul",Both Jo and Paul,Neither is correct,nan,nan,nan,Carries out operations from left to right regardless of priority order
362,Find the gradient of a line written in the form ax + by = c,Finding the Gradient and Intercept of a Line from the Equation,C,"A line has equation \( 4 x+3 y=5 \)
What is it's gradient?",\( -4 \),\( 4 \),\( -\frac{4}{3} \),\( \frac{4}{3} \),When solving an equation forgets to eliminate the coefficient in front of the variable in the last step,"Believes that for a line written in the form ax + by = c, a is the gradient",nan,"When solving an equation, uses the same operation rather than the inverse."
363,Create a situation to match an algebraic expression,Writing Expressions,D,"Which model does not correctly represent the following expression?
\(2(n+3)\)","![\begin{tabular}{|c|c|}
\hline\( n \) & \( 3 \) \\
\hline\( n \) & \( 3 \) \\
\hline
\end{tabular}]()","![\begin{tabular}{|l|l|l|l|}
\hline \( \mathrm{n} \) & \( 3 \) & \( \mathrm{n} \) & \( 3 \) \\
\hline
\end{tabular}]()","![\begin{tabular}{|l|l|l|l|}
\hline \( \mathrm{n} \) & \( \mathrm{n} \) & \( 3 \) & \( 3 \) \\
\hline
\end{tabular}]()","![\begin{tabular}{|c|c|}
\hline\( n \) & \( 2 \) \\
\hline\( n \) & \( 2 \) \\
\hline\( n \) & \( 2 \) \\
\hline
\end{tabular}]()",Does not understand bar modelling in algebra,Does not understand bar modelling in algebra,Does not recognise the distributive property,nan
364,"Given an equation, form  or identify related equations",Substitution into Formula,C,"\[
3 k+2<m+2
\]
Using the diagram on the right, is the expression above... ![A bar model where the same length is represented by either 3 lengths of 'k' or 1 length of 'm']()",always true,sometimes true,never true,Need more information,Does not understand bar modelling in algebra,Does not understand bar modelling in algebra,nan,Does not understand bar modelling in algebra
365,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",2D Names and Properties of Shapes-Others,A,Tom and Katie are discussing regular polygons. Tom says this is a regular polygon ![A triangle with 3 equal sides and 3 equal angles]() Katie says this is a regular polygon ![A parallelogram with 2 pairs of parallel sides marked]() Who is correct?,Only Tom,Only Katie,Both Tom and Katie,Neither is correct,nan,Does not know the meaning of the word regular ,Does not know the meaning of the word regular ,Does not know the meaning of the word regular 
366,Calculate the area of a trapezium where the dimensions are given in the same units,Area of Simple Shapes,C,"When calculating the area of this trapezium, what is the value of \( h \) in the formula? Area \( =\left(\frac{a+b}{2}\right) h \) ![Trapezium with the slanted sides labelled 8cm and 7.5cm. The parallel sides labelled 3cm and 8cm. The perpendicular height labelled 7cm.]()",\( 8 \),\( 7.5 \),\( 7 \),\( 3 \),Uses slant height instead of perpendicular height to find area of a trapezium,Uses slant height instead of perpendicular height to find area of a trapezium,nan,Uses base instead of height as h in area of a trapezium formula
367,"Reflect an object or a point in a vertical line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object",Reflection,B,"![A grid of 7 squares across and 7 squares up. A red vertical line goes from the bottom to the top of the grid, it is 4 squares left from the edge of the grid. An orange rectangle (3 squares width and 2 squares height) is drawn to the left of the red line, with its right-hand side on the red line.  The bottom side of the rectangle is 3 squares up from the bottom of the grid. The bottom left corner of the rectangle is marked with the letter P, which is 3 squares up from the bottom of the grid and 3 squares to the left of the red line. The bottom right corner of the rectangle is marked with the letter Q, which is 3 squares up from the bottom of the grid on the red line. ]() Tom and Katie are discussing reflections

Tom says if you reflect the rectangle in the vertical line, Point \( P \) stays in the same position

Katie says if you reflect the rectangle in the vertical line, Point \( Q \) stays in the same position
Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,Fails to reflect across mirror line,nan,Fails to reflect across mirror line,Fails to reflect across mirror line
368,Calculate which two integer values the decimal equivalent of a square root must lie between,"Square Roots, Cube Roots, etc",D,"Without using a calculator, which two integers must \( \sqrt{89} \) lie between?",\( 44 \) and \( 45 \),\( 8 \) and \( 9 \),\( 81 \) and \( 100 \),\( 9 \) and \( 10 \),Confuses square rooting and halving the number,nan,nan,nan
369,"Solve two-step linear equations, with the variable on one side, with all positive integers",Linear Equations,A,"Jo and Paul are arguing about a first step to solve this equation:
\(
\frac{m}{6}-4=24
\)
Jo says you can write: \( \frac{m}{6}=28 \)
Paul says you can write: \( m-4=144 \)
Who is correct?",Only Jo,Only Paul,Both Jo and Paul,Neither is correct,nan,nan,"When solving an equation with a fraction, thinks you don't need to multiply every term on both sides when multiplying by the denominator ",Does not know how to solve linear equations involving fractions
370,"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c ",Plotting Lines from Tables of Values,C,"\begin{tabular}{l|l|l|l}
\( x \) & \( \) & \( 0 \) & \( 3 \) \\
\hline\( y \) & \( -7 \) & \( -5 \) &  \( \color{gold}\bigstar\ \) \\
\end{tabular}
 This is a table of values for \( y=2 x+c \)
What should replace the star?",\( 6 \),\( -3 \),\( 1 \),\( -5 \),Does not realise that a pair of coordinates can be used to find missing parts of an equation,nan,nan,nan
371,"Rotate an object or point 900 clockwise or anticlockwise about a point, where the point lies on the edge or outside of the object",Rotation,D,"John rotates rectangle \( A B C D 90^{\circ} \) clockwise from the centre \( (3,2) \). What error has he made? ![A positive, coordinate grid with two rectangles drawn on it. The rectangle labelled ABCD has the coordinates: A(1,3) B(1,5) C(2,5) and D(2,3). The other rectangle has the coordinates: (4,3) (6,3) (6,2) and (4,2).]()","He hasn't, this is correct",He has translated by the vector \( \left(\begin{array}{l}3 \\ 2\end{array}\right) \),He has rotated \( 90^{\circ} \) anticlockwise,He has used the wrong centre,nan,Does not recognise that a shape translated would not change orientation,Mixes up clockwise and anticlockwise,nan
372,"Reflect an object or a point in a horizontal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object",Reflection,A,"The triangle is reflected in the dashed line.
What are the new coordinates of point P? ![A set of axes: x-axis from -1 to 5, y-axis from -3 to 4. Three points are plotted and joined to make a triangle: (2, 2), (4, 2), (3, 3). Point (2, 2) is labelled with the letter ""P"". The line y=2 is shown with a purple dashed line.]()","\( (2,2) \)","\( (2,1) \)","\( (2,0) \)","\( (2,-2) \)",nan,Does not understand that a point on the line of reflection will stay the same when reflected ,Does not understand that a point on the line of reflection will stay the same when reflected ,Does not understand that a point on the line of reflection will stay the same when reflected 
